material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
mp-19126,Nd2Cr2O8,0.29580000000000006,0.0,0.4825999999999999,0.41487355426718475,8.0,0.0,1.0,1.6357936564452582,d,Cr,0.75;0.25;0.5,0.3809126137667392,2.20789420908327,d,Cr,0.75;0.25;0.5,0.25937514496065106
mp-19149,Na4Ni4O8,,,,,,,,,,,,,,,,,
mp-19240,Er2Cr2O8,0.3003999999999998,0.0,0.4060999999999999,0.483555779716371,8.0,0.0,1.0,1.6969924854990137,d,Cr,0.25;0.75;0.5,0.37205857072214854,2.319513966290651,d,Cr,0.25;0.75;0.5,0.2499439281861364
mp-19360,Lu2Cr2O8,0.2849999999999999,0.0,0.3707999999999998,0.32382846250755587,2.0,0.0,1.0,1.6846130997526072,d,Cr,0.75;0.25;0.5,0.37422929895534246,2.2943342630004877,d,Cr,0.75;0.25;0.5,0.2539780900128617
mp-19388,Ba2Ni4As4O16,2.8715,0.0,2.9609,0.5544798311144097,6.0,0.0,1.0,3.0703497408997293,s,As,0.572299;0.572299;0.572299,0.09447622785306463,2.339333733320535,p,O,0.357553;0.357553;0.357553,0.19065738562857967
mp-19399,Cr4O6,,,,,,,,2.0256738232723683,d,Cr,0.849715;0.849715;0.849715,0.21457719606173287,2.393092727406098,d,Cr,0.650285;0.650285;0.650285,0.14164276250287594
mp-19514,Sr16Cr8O32,,,,,,,,3.3140130044992584,d,Cr,0.303151;0.288295;0.730687,0.1405092816940523,3.484235785604734,d,Cr,0.776208;0.126248;0.0245,0.10584553029680521
mp-19785,Ho4Fe4O12,1.5034,0.0,1.6131000000000002,0.41666667,2.0,0.0,1.0,2.3627574378246186,d,Fe,0.0;0.5;0.5,0.18933871389737386,3.0500296458561067,p,O,0.619491;0.045238;0.75,0.06996022631102387
mp-19793,Yb4Fe4O12,0.5404,0.0,0.5529,0.16666667,2.0,0.0,1.0,2.4974420973888325,d,Fe,0.5;0.0;0.5,0.1825347769210354,3.0265274545516636,p,O,0.579038;0.018323;0.75,0.08266243555464273
mp-20098,Ba2Pb1O4,1.2338,0.0,1.5435000000000003,0.5,2.0,0.0,1.0,2.0126715293761235,s,Pb,0.0;0.0;0.0,0.29220216971550245,1.6355081674828689,p,O,0.837162;0.837162;0.0,0.29955223059061786
mp-20099,In6W1O12,1.7679999999999998,0.0,1.9579000000000004,0.8536677749862734,2.0,0.0,1.0,3.302762375546374,d,W,0.0;0.0;0.0,0.1318459749475808,2.72865521762186,p,O,0.10286;0.958374;0.295809,0.09296773913612166
mp-20134,K1C1N1,5.0425,0.0,5.5008,0.8660254037844386,1.0,0.7071067811865476,2.0,1.2171061654907636,p,C,0.57449;0.57449;0.636807,0.44181913452478094,1.077876824983353,p,C,0.57449;0.57449;0.636807,0.4781832947866113
mp-20243,Sm4Fe4O12,1.545,1.0,1.545,0.0,1.0,0.0,1.0,1.7995059733762697,d,Fe,0.0;0.5;0.0,0.23101553057308488,2.905843088067871,d,Fe,0.0;0.5;0.5,0.0663666735704174
mp-20299,K3Co1N6O12,2.6886,0.0,2.6914,0.7071067811865476,3.0,0.5303300858899106,6.0,2.901440946781448,d,Co,0.0;0.0;0.0,0.20640367996722522,3.0687405825270773,p,O,0.655965;0.344035;0.141627,0.06347575402776502
mp-20407,Nd4Fe4O12,1.7349,0.0,1.7482000000000002,0.7071067811865476,1.0,0.0,1.0,2.2424256018292903,d,Fe,0.0;0.5;0.5,0.201663360446666,2.97081129449233,p,O,0.70274;0.297112;0.449851,0.06354743105619215
mp-2071,Zn24P16,,,,,,,,4.293711731448549,s,Zn,0.217082;0.0;0.106249,0.05094803934231382,3.902530010601561,p,P,0.0;0.0;0.246106,0.04677403055402334
