Compound,Perovskite,Cubic,rA,rB,MA,MB,dAO,dBO,rA/rO,rB/rO,t
InRhO3,1,-1,1.097,0.665,75,59,1.902,1.7930000000000001,0.813,0.493,0.8590000000000001
KIO3,1,1,1.64,0.95,3,96,1.9548,2.003,1.215,0.7040000000000001,0.919
KNbO3,1,-1,1.64,0.64,3,47,1.9548,1.916,1.215,0.474,1.062
KPaO3,1,1,1.64,0.78,3,18,1.9548,2.11,1.215,0.578,0.993
KTaO3,1,1,1.64,0.64,3,48,1.9548,1.92,1.215,0.474,1.062
KUO3,1,1,1.64,0.76,3,20,1.9548,2.075,1.215,0.563,1.002
LaAlO3,1,-1,1.36,0.535,13,73,2.148,1.6440000000000001,1.0070000000000001,0.396,1.0170000000000001
LaCoO3,1,-1,1.36,0.61,13,58,2.148,1.6369999999999998,1.0070000000000001,0.452,0.978
LaCrO3,1,-1,1.36,0.615,13,49,2.148,1.7080000000000002,1.0070000000000001,0.456,0.975
LaCuO3,1,-1,1.36,0.54,13,64,2.148,1.735,1.0070000000000001,0.4,1.014
LaErO3,1,-1,1.36,0.89,13,35,2.148,1.979,1.0070000000000001,0.659,0.855
LaFeO3,1,-1,1.36,0.645,13,55,2.148,1.751,1.0070000000000001,0.478,0.961
LaGaO3,1,-1,1.36,0.62,13,74,2.148,1.73,1.0070000000000001,0.45899999999999996,0.973
LaHoO3,1,-1,1.36,0.9009999999999999,13,33,2.148,1.992,1.0070000000000001,0.667,0.851
LaInO3,1,-1,1.36,0.8,13,75,2.148,1.902,1.0070000000000001,0.593,0.8909999999999999
LaLuO3,1,-1,1.36,0.861,13,41,2.148,1.9469999999999998,1.0070000000000001,0.638,0.867
LaMnO3,1,-1,1.36,0.645,13,52,2.148,1.732,1.0070000000000001,0.478,0.961
LaNiO3,1,-1,1.36,0.6,13,61,2.148,1.75,1.0070000000000001,0.444,0.983
LaRhO3,1,-1,1.36,0.665,13,59,2.148,1.7930000000000001,1.0070000000000001,0.493,0.951
LaRuO3,1,-1,1.36,0.68,13,56,2.148,1.77,1.0070000000000001,0.504,0.9440000000000001
LaScO3,1,-1,1.36,0.745,13,11,2.148,1.849,1.0070000000000001,0.552,0.915
LaTiO3,1,-1,1.36,0.67,13,43,2.148,1.791,1.0070000000000001,0.496,0.9490000000000001
LaTmO3,1,-1,1.36,0.88,13,37,2.148,1.9680000000000002,1.0070000000000001,0.652,0.8590000000000001
LaVO3,1,-1,1.36,0.64,13,46,2.148,1.749,1.0070000000000001,0.474,0.963
LaYbO3,1,-1,1.36,0.868,13,39,2.148,1.954,1.0070000000000001,0.643,0.8640000000000001
LaYO3,1,-1,1.36,0.9,13,12,2.148,2.0140000000000002,1.0070000000000001,0.667,0.852
LuAlO3,1,-1,1.15,0.535,41,73,1.9469999999999998,1.6440000000000001,0.852,0.396,0.938
LuCrO3,1,-1,1.15,0.615,41,49,1.9469999999999998,1.7080000000000002,0.852,0.456,0.9
LuFeO3,1,-1,1.15,0.645,41,55,1.9469999999999998,1.751,0.852,0.478,0.8859999999999999
LuMnO3,1,-1,1.15,0.645,41,52,1.9469999999999998,1.732,0.852,0.478,0.8859999999999999
LuTiO3,1,-1,1.15,0.67,41,43,1.9469999999999998,1.791,0.852,0.496,0.875
MgSiO3,1,-1,1.06,0.4,68,78,1.693,1.624,0.785,0.29600000000000004,0.9740000000000001
NaIO3,1,-1,1.39,0.95,2,96,1.5766,2.003,1.03,0.7040000000000001,0.8420000000000001
NaNbO3,1,-1,1.39,0.64,2,47,1.5766,1.916,1.03,0.474,0.9740000000000001
NaPaO3,1,-1,1.39,0.78,2,18,1.5766,2.11,1.03,0.578,0.91
NaSbO3,1,-1,1.39,0.6,2,85,1.5766,1.942,1.03,0.444,0.9940000000000001
NaTaO3,1,-1,1.39,0.64,2,48,1.5766,1.92,1.03,0.474,0.9740000000000001
