Compound,Perovskite,Cubic,rA,rB,MA,MB,dAO,dBO,rA/rO,rB/rO,t
EuBO3,-1,0,1.24,0.27,25,72,2.0380000000000003,1.371,0.919,0.2,1.13
FeBO3,-1,0,0.943,0.27,55,72,1.751,1.371,0.6990000000000001,0.2,1.001
FeMnO3,-1,0,1.073,0.53,55,52,1.751,1.75,0.795,0.39299999999999996,0.9109999999999999
FeSiO3,-1,0,1.073,0.4,55,78,1.751,1.624,0.795,0.29600000000000004,0.9790000000000001
FeSO3,-1,0,1.073,0.37,55,88,1.751,1.6440000000000001,0.795,0.27399999999999997,0.996
FeTiO3,-1,0,1.073,0.605,55,43,1.751,1.815,0.795,0.44799999999999995,0.8759999999999999
GaFeO3,-1,0,0.875,0.645,74,55,1.73,1.751,0.648,0.478,0.789
GaInO3,-1,0,0.875,0.8,74,75,1.73,1.902,0.648,0.593,0.732
GdBO3,-1,0,1.224,0.27,27,72,2.031,1.371,0.907,0.2,1.124
HgSeO3,-1,0,1.264,0.5,71,89,1.93,1.811,0.9359999999999999,0.37,0.9990000000000001
HgTeO3,-1,0,1.264,0.56,71,90,1.93,1.9769999999999999,0.9359999999999999,0.415,0.968
HoBO3,-1,0,1.194,0.27,33,72,1.992,1.371,0.884,0.2,1.11
InBO3,-1,0,1.097,0.27,75,72,1.902,1.371,0.813,0.2,1.068
InFeO3,-1,0,1.097,0.645,75,55,1.902,1.751,0.813,0.478,0.867
InMnO3,-1,0,1.097,0.645,75,52,1.902,1.732,0.813,0.478,0.867
KBiO3,-1,0,1.64,0.76,3,86,1.9548,2.06,1.215,0.563,1.002
KBrO3,-1,0,1.64,0.47,3,95,1.9548,1.84,1.215,0.348,1.162
KNO3,-1,0,1.64,0.13,3,82,1.9548,1.432,1.215,0.096,1.429
KPO3,-1,0,1.64,0.38,3,83,1.9548,1.604,1.215,0.281,1.222
KSbO3,-1,0,1.64,0.6,3,85,1.9548,1.942,1.215,0.444,1.084
KVO3,-1,0,1.64,0.54,3,46,1.9548,1.7990000000000002,1.215,0.4,1.119
LaBO3,-1,0,1.36,0.27,13,72,2.148,1.371,1.0070000000000001,0.2,1.183
LaDyO3,-1,0,1.36,0.912,13,31,2.148,2.005,1.0070000000000001,0.6759999999999999,0.847
LiAsO3,-1,0,1.103,0.46,1,84,1.1745,1.767,0.8170000000000001,0.341,0.958
LiBiO3,-1,0,1.103,0.76,1,86,1.1745,2.06,0.8170000000000001,0.563,0.8220000000000001
LiIO3,-1,0,1.103,0.95,1,96,1.1745,2.003,0.8170000000000001,0.7040000000000001,0.754
LiNbO3,-1,0,1.103,0.64,1,47,1.1745,1.916,0.8170000000000001,0.474,0.872
LiNO3,-1,0,1.103,0.13,1,82,1.1745,1.432,0.8170000000000001,0.096,1.172
LiPO3,-1,0,1.103,0.38,1,83,1.1745,1.604,0.8170000000000001,0.281,1.003
LiReO3,-1,0,1.103,0.58,1,54,1.1745,1.86,0.8170000000000001,0.43,0.899
LiSbO3,-1,0,1.103,0.6,1,85,1.1745,1.942,0.8170000000000001,0.444,0.89
LiTaO3,-1,0,1.103,0.64,1,48,1.1745,1.92,0.8170000000000001,0.474,0.872
LiVO3,-1,0,1.103,0.54,1,46,1.1745,1.7990000000000002,0.8170000000000001,0.4,0.9179999999999999
LuBO3,-1,0,1.15,0.27,41,72,1.9469999999999998,1.371,0.852,0.2,1.091
MgCO3,-1,0,1.06,0.16,68,77,1.693,1.39,0.785,0.11900000000000001,1.129
MgGeO3,-1,0,1.06,0.53,68,79,1.693,1.7480000000000002,0.785,0.39299999999999996,0.9059999999999999
MgSeO3,-1,0,1.06,0.5,68,89,1.693,1.811,0.785,0.37,0.9209999999999999
MgTiO3,-1,0,1.06,0.605,68,43,1.693,1.815,0.785,0.44799999999999995,0.872
MgVO3,-1,0,1.06,0.58,68,46,1.693,1.78,0.785,0.43,0.883
MnCO3,-1,0,1.133,0.16,52,77,1.765,1.39,0.8390000000000001,0.11900000000000001,1.163
MnGeO3,-1,0,1.133,0.53,52,79,1.765,1.7480000000000002,0.8390000000000001,0.39299999999999996,0.934
MnSeO3,-1,0,1.133,0.5,52,89,1.765,1.811,0.8390000000000001,0.37,0.9490000000000001
MnSiO3,-1,0,1.133,0.4,52,78,1.765,1.624,0.8390000000000001,0.29600000000000004,1.003
MnSnO3,-1,0,1.133,0.69,52,80,1.765,1.905,0.8390000000000001,0.511,0.861
MnSO3,-1,0,1.133,0.37,52,88,1.765,1.6440000000000001,0.8390000000000001,0.27399999999999997,1.021
MnTiO3,-1,0,1.133,0.605,52,43,1.765,1.815,0.8390000000000001,0.44799999999999995,0.898
NaAsO3,-1,0,1.39,0.46,2,84,1.5766,1.767,1.03,0.341,1.07
NaBiO3,-1,0,1.39,0.76,2,86,1.5766,2.06,1.03,0.563,0.9179999999999999
NaBrO3,-1,0,1.39,0.47,2,95,1.5766,1.84,1.03,0.348,1.065
NaNO3,-1,0,1.39,0.13,2,82,1.5766,1.432,1.03,0.096,1.3090000000000002
NaPO3,-1,0,1.39,0.38,2,83,1.5766,1.604,1.03,0.281,1.12
NaVO3,-1,0,1.39,0.54,2,46,1.5766,1.7990000000000002,1.03,0.4,1.025
NdDyO3,-1,0,1.27,0.912,19,31,2.086,2.005,0.941,0.6759999999999999,0.8190000000000001
NdLuO3,-1,0,1.27,0.861,19,41,2.086,1.9469999999999998,0.941,0.638,0.838
NdYbO3,-1,0,1.27,0.868,19,39,2.086,1.954,0.941,0.643,0.835
NiMnO3,-1,0,0.9309999999999999,0.53,61,52,1.67,1.75,0.69,0.39299999999999996,0.858
NiSeO3,-1,0,0.9309999999999999,0.5,61,89,1.67,1.811,0.69,0.37,0.872
NiTiO3,-1,0,0.9309999999999999,0.605,61,43,1.67,1.815,0.69,0.44799999999999995,0.825
PbCO3,-1,0,1.49,0.16,81,77,1.963,1.39,1.104,0.11900000000000001,1.33
PbSeO3,-1,0,1.49,0.5,81,89,1.963,1.811,1.104,0.37,1.0859999999999999
PbSiO3,-1,0,1.49,0.4,81,78,1.963,1.624,1.104,0.29600000000000004,1.148
PbSO3,-1,0,1.49,0.37,81,88,1.963,1.6440000000000001,1.104,0.27399999999999997,1.168
PbTeO3,-1,0,1.49,0.56,81,90,1.963,1.9769999999999999,1.104,0.415,1.051
PrDyO3,-1,0,1.314,0.912,17,31,2.0980000000000003,2.005,0.973,0.6759999999999999,0.833
PrErO3,-1,0,1.314,0.89,17,35,2.0980000000000003,1.979,0.973,0.659,0.841
PrHoO3,-1,0,1.314,0.9009999999999999,17,33,2.0980000000000003,1.992,0.973,0.667,0.8370000000000001
PrTmO3,-1,0,1.314,0.88,17,37,2.0980000000000003,1.9680000000000002,0.973,0.652,0.845
RbBrO3,-1,0,1.72,0.47,4,95,2.0812,1.84,1.274,0.348,1.193
RbNO3,-1,0,1.72,0.13,4,82,2.0812,1.432,1.274,0.096,1.4669999999999999
RbPO3,-1,0,1.72,0.38,4,83,2.0812,1.604,1.274,0.281,1.255
RbVO3,-1,0,1.72,0.54,4,46,2.0812,1.7990000000000002,1.274,0.4,1.149
SmBO3,-1,0,1.24,0.27,23,72,2.063,1.371,0.919,0.2,1.13
SmYO3,-1,0,1.24,0.9,23,12,2.063,2.0140000000000002,0.919,0.667,0.8140000000000001
SrCO3,-1,0,1.44,0.16,8,77,2.1180000000000003,1.39,1.067,0.11900000000000001,1.307
SrSiO3,-1,0,1.44,0.4,8,78,2.1180000000000003,1.624,1.067,0.29600000000000004,1.127
SrThO3,-1,0,1.44,0.94,8,16,2.1180000000000003,2.167,1.067,0.696,0.861
TlBrO3,-1,0,1.7,0.47,76,95,1.9269999999999998,1.84,1.2590000000000001,0.348,1.185
TlLaO3,-1,0,1.115,1.032,76,13,2.003,2.148,0.826,0.764,0.732
TlNO3,-1,0,1.7,0.13,76,82,1.9269999999999998,1.432,1.2590000000000001,0.096,1.4569999999999999
TlSbO3,-1,0,1.7,0.6,76,85,1.9269999999999998,1.942,1.2590000000000001,0.444,1.1059999999999999
TlVO3,-1,0,1.7,0.54,76,46,1.9269999999999998,1.7990000000000002,1.2590000000000001,0.4,1.141
TmBO3,-1,0,1.17,0.27,37,72,1.9680000000000002,1.371,0.867,0.2,1.1
TmYO3,-1,0,1.17,0.9,37,12,1.9680000000000002,2.0140000000000002,0.867,0.667,0.792
YBO3,-1,0,1.196,0.27,12,72,2.0140000000000002,1.371,0.8859999999999999,0.2,1.111
YbYO3,-1,0,1.162,0.9,39,12,1.954,2.0140000000000002,0.861,0.667,0.789
YInO3,-1,0,1.196,0.8,12,75,2.0140000000000002,1.902,0.8859999999999999,0.593,0.8370000000000001
ZnGeO3,-1,0,1.06,0.53,69,79,1.704,1.7480000000000002,0.785,0.39299999999999996,0.9059999999999999
ZnSeO3,-1,0,1.06,0.5,69,89,1.704,1.811,0.785,0.37,0.9209999999999999
ZnSiO3,-1,0,1.06,0.4,69,78,1.704,1.624,0.785,0.29600000000000004,0.9740000000000001
ZnSnO3,-1,0,1.06,0.69,69,80,1.704,1.905,0.785,0.511,0.835
ZnTeO3,-1,0,1.06,0.56,69,90,1.704,1.9769999999999999,0.785,0.415,0.892
ZnTiO3,-1,0,1.06,0.605,69,43,1.704,1.815,0.785,0.44799999999999995,0.872
AgNbO3,1,-1,1.46,0.64,65,47,1.805,1.916,1.081,0.474,0.998
AgTaO3,1,-1,1.46,0.64,65,48,1.805,1.92,1.081,0.474,0.998
BaAmO3,1,1,1.61,0.85,9,26,2.285,2.11,1.193,0.63,0.951
BaCeO3,1,-1,1.61,0.87,9,15,2.285,2.028,1.193,0.644,0.943
BaHfO3,1,1,1.61,0.71,9,45,2.285,1.923,1.193,0.526,1.016
BaIrO3,1,-1,1.61,0.625,9,60,2.285,1.87,1.193,0.46299999999999997,1.06
BaMoO3,1,1,1.61,0.65,9,50,2.285,1.886,1.193,0.48100000000000004,1.047
BaNbO3,1,1,1.61,0.68,9,47,2.285,1.88,1.193,0.504,1.031
BaNpO3,1,1,1.61,1.01,9,22,2.285,2.11,1.193,0.748,0.887
BaPaO3,1,1,1.61,0.79,9,18,2.285,2.15,1.193,0.585,0.978
BaPbO3,1,-1,1.61,0.775,9,81,2.285,2.042,1.193,0.574,0.985
BaPrO3,1,-1,1.61,0.99,9,17,2.285,2.0980000000000003,1.193,0.733,0.894
BaPuO3,1,-1,1.61,0.86,9,24,2.285,2.09,1.193,0.637,0.9470000000000001
BaRuO3,1,-1,1.61,0.62,9,56,2.285,1.834,1.193,0.45899999999999996,1.062
BaSnO3,1,1,1.61,0.69,9,80,2.285,1.905,1.193,0.511,1.026
BaTbO3,1,-1,1.61,0.76,9,29,2.285,2.013,1.193,0.563,0.992
BaThO3,1,1,1.61,0.94,9,16,2.285,2.167,1.193,0.696,0.914
BaTiO3,1,-1,1.61,0.605,9,43,2.285,1.815,1.193,0.44799999999999995,1.071
BaUO3,1,1,1.61,0.89,9,20,2.285,2.112,1.193,0.659,0.934
BaZrO3,1,1,1.61,0.72,9,44,2.285,1.9369999999999998,1.193,0.5329999999999999,1.011
BiAlO3,1,-1,1.35,0.535,86,73,2.094,1.6440000000000001,1.0,0.396,1.013
BiFeO3,1,-1,1.35,0.645,86,55,2.094,1.751,1.0,0.478,0.9570000000000001
BiInO3,1,-1,1.35,0.8,86,75,2.094,1.902,1.0,0.593,0.888
BiMnO3,1,-1,1.35,0.645,86,52,2.094,1.732,1.0,0.478,0.9570000000000001
BiScO3,1,-1,1.35,0.745,86,11,2.094,1.849,1.0,0.552,0.9109999999999999
CaCrO3,1,-1,1.34,0.55,7,49,1.9669999999999999,1.81,0.993,0.40700000000000003,1.001
CaGeO3,1,-1,1.34,0.53,7,79,1.9669999999999999,1.7480000000000002,0.993,0.39299999999999996,1.012
CaHfO3,1,-1,1.34,0.71,7,45,1.9669999999999999,1.923,0.993,0.526,0.9229999999999999
CaIrO3,1,-1,1.34,0.625,7,60,1.9669999999999999,1.87,0.993,0.46299999999999997,0.963
CaMnO3,1,-1,1.34,0.53,7,52,1.9669999999999999,1.75,0.993,0.39299999999999996,1.012
CaMoO3,1,-1,1.34,0.65,7,50,1.9669999999999999,1.886,0.993,0.48100000000000004,0.951
CaNbO3,1,-1,1.34,0.68,7,47,1.9669999999999999,1.88,0.993,0.504,0.937
CaPbO3,1,-1,1.34,0.775,7,81,1.9669999999999999,2.042,0.993,0.574,0.895
CaRuO3,1,-1,1.34,0.62,7,56,1.9669999999999999,1.834,0.993,0.45899999999999996,0.966
CaSiO3,1,-1,1.34,0.4,7,78,1.9669999999999999,1.624,0.993,0.29600000000000004,1.087
CaSnO3,1,-1,1.34,0.69,7,80,1.9669999999999999,1.905,0.993,0.511,0.932
CaTiO3,1,-1,1.34,0.605,7,43,1.9669999999999999,1.815,0.993,0.44799999999999995,0.973
CaUO3,1,-1,1.34,0.89,7,20,1.9669999999999999,2.112,0.993,0.659,0.8490000000000001
CaVO3,1,-1,1.34,0.58,7,46,1.9669999999999999,1.78,0.993,0.43,0.986
CaZrO3,1,-1,1.34,0.72,7,44,1.9669999999999999,1.9369999999999998,0.993,0.5329999999999999,0.919
CdGeO3,1,-1,1.31,0.53,70,79,1.9040000000000001,1.7480000000000002,0.97,0.39299999999999996,1.0
CdSnO3,1,-1,1.31,0.69,70,80,1.9040000000000001,1.905,0.97,0.511,0.922
