Compound ML DOM0 DOM100 H OQMDdistance SG
TmInO3 P D D -2.07 823 221
TmMnO3 P NP NP -3.02 -49 185
TmRhO3 P D D -1.78 653 221
TmRuO3 P D D -1.83 704 221
TmScO3 P D D -3.24 629 221
YbCoO3 P P P -2.11 -79 62
YbInO3 P D D -2.19 136 62
YbRhO3 P P P -2.11 -89 62
YbRuO3 P P P -2.25 -83 62
YbScO3 P D P -3.21 98 62
YRhO3 P D D -1.85 523 221
YRuO3 P D D -1.9 570 221
YYbO3 P D D -2.72 588 221
CeLaO3 P D D -2.73 890 221
CeYO3 P D D -3.14 528 221
DyErO3 P D D -3 869 221
DyLuO3 P D D -3.15 758 221
DyTmO3 P D D -3.07 825 221
DyYbO3 P D D -2.76 569 221
ErLuO3 P D D -3.09 837 221
ErYbO3 P D D -2.82 529 221
EuCeO3 P D D -2.56 562 221
EuErO3 P D P -3.21 98 62
EuLuO3 P D P -3.26 94 62
EuTbO3 P D D -3.02 116 62
EuTmO3 P D P -3.23 90 62
EuYbO3 P D D -2.28 487 221
GdErO3 P D D -3.06 783 221
GdLuO3 P D D -3.2 674 221
GdTmO3 P D D -3.12 740 221
GdYbO3 P D D -2.69 614 221
HoLuO3 P D D -3.12 797 221
HoYbO3 P D D -2.79 548 221
LuYbO3 P D D -3.24 140 62
NdErO3 P D D -3.18 576 221
NdTmO3 P D D -3.24 537 221
SmErO3 P D D -3.12 676 221
SmLuO3 P D D -3.26 572 221
SmTmO3 P D D -3.18 635 221
SmYbO3 P D D -2.58 671 221
TbErO3 P D D -2.9 827 221
TbLuO3 P D D -3.04 717 221
TbTmO3 P D D -2.96 783 221
TbYbO3 P D D -2.59 591 221
TmLuO3 P D D -3.06 886 221
TmYbO3 P D D -2.87 503 221
YbLuO3 P D D -3.24 140 62
YLuO3 P D D -3.15 734 221
CsBiO3 CP NP NP -1.4 1 148
CsPaO3 CP CP CP -2.87 0 221
CsReO3 CP D D -1.82 108 148
CsSbO3 CP NP NP -1.81 -9 148
CsTaO3 CP D NP -2.84 5 148
CsUO3 CP D CP -3.04 10 221
CsWO3 CP NP NP -2.2 -22 148
KReO3 CP D CP -1.92 8 221
KWO3 CP CP CP -2.37 0 221
RbBiO3 CP NP NP -1.42 -71 148
RbReO3 CP D D -1.81 115 221
RbSbO3 CP NP NP -1.85 -149 148
RbWO3 CP D D -2.26 115 221
TlBiO3 CP D NP -1.16 47 148
TlNbO3 CP NP NP -2.29 -86 148
TlPaO3 CP CP CP -2.56 -358 221
TlReO3 CP D D -1.4 124 148
TlTaO3 CP NP NP -2.46 -49 148
TlUO3 CP CP CP -2.75 -108 221
BaVO3 CP D NP -2.8 63 12
AgAsO3 NP NP NP -1.11 -32 148
CsAsO3 NP D D -0.97 728 221
CsNO3 NP NP NP -1.26 -298 205
CsPO3 NP - - - - -
LiBrO3 NP - - - - -
LiPaO3 NP P P -2.96 -311 167
LiUO3 NP P P -3.15 0 167
LiWO3 NP D P -2.35 56 167
TlAsO3 NP D D -1.1 210 148
TlPO3 NP NP NP -2.14 -114 114
BaSeO3 NP NP NP -2.15 -174 11
BaSO3 NP - - - - -
CaNiO3 NP D D -1.67 131 167
CaSeO3 NP NP NP -2.15 -73 14
CaSO3 NP - - - - -
CdNiO3 NP D D -0.86 134 148
CdNpO3 NP D D -2.14 581 221
CdPrO3 NP D D -2.17 117 62
CdSiO3 NP NP D -2.38 0 14
CdThO3 NP D D -2.29 747 221
CoAmO3 NP - - - - -
CoCrO3 NP D D -1.2 676 221
CoHfO3 NP D D -2.15 649 221
CoIrO3 NP D D -0.32 837 221
CoMoO3 NP D D -1.71 103 148
CoNbO3 NP D D -1.72 555 221
CoNiO3 NP D D -0.35 768 221
CoNpO3 NP D D -2.48 240 148
CoPaO3 NP D D -2.18 174 148
CoPbO3 NP D NP -1.18 78 148
CoPuO3 NP D D -1.54 950 221
CoRuO3 NP D D -0.57 689 221
CoSnO3 NP D D -1.02 651 221
CoSO3 NP - - - - -
CoUO3 NP D D -2.27 524 221
CoVO3 NP D D -1.52 485 221
CoZrO3 NP D D -1.95 726 221
CuAmO3 NP - - - - -
CuCoO3 NP D D -0.39 560 221
CuCrO3 NP D D -1.08 520 221
CuHfO3 NP D D -2.03 599 221
CuIrO3 NP D D -0.39 572 221
CuMnO3 NP D D -0.83 558 221
CuMoO3 NP D P -1.64 89 167
CuNiO3 NP D D -0.12 698 221
CuNpO3 NP D D -2.17 381 167
CuPaO3 NP P P -2.42 -243 167
CuPuO3 NP D D -1.76 523 221
CuRuO3 NP D NP -0.98 98 148
CuSnO3 NP D D -0.83 666 221
CuSO3 NP - - - - -
CuThO3 NP D D -2.74 120 62
CuTiO3 NP D NP -2.18 85 148
CuUO3 NP D P -2.61 11 167
CuZrO3 NP D D -1.84 657 221
EuNiO3 NP CP CP -1.89 2 221
EuCO3 NP NP NP -2.7 -418 62
EuNpO3 NP P P -3.59 -1 62
EuSeO3 NP - - - - -
EuSiO3 NP CP CP -3.28 1 221
EuSO3 NP - - - - -
EuThO3 NP D P -3.8 97 62
FeAmO3 NP - - - - -
FeCO3 NP D NP -1.53 5 167
Fe(II)Co(IV)O3 NP D D -0.85 610 221
Fe(II)Cr(IV)O3 NP D D -1.21 854 221
FeGeO3 NP D D -1.2 621 221
FeHfO3 NP D D -2.22 691 221
FeIrO3 NP D D -0.43 878 221
FeMnO3 NP D NP -1.75 84 148
FeMoO3 NP D D -1.77 166 148
Fe(II)Ni(IV)O3 NP D D -0.52 815 221
FeNbO3 NP D D -2.18 159 148
FePaO3 NP D D -1.94 525 221
FePbO3 NP D NP -1.38 66 148
Fe(II)Ru(IV)O3 NP D D -0.43 967 221
FeSeO3 NP - - - - -
FeSnO3 NP D D -1.65 128 148
FeTeO3 NP D D -0.81 615 221
FeThO3 NP D D -2.54 611 221
FeTiO3 NP NP NP -2.6 -12 148
FeUO3 NP D D -2.26 644 221
Fe(II)V(IV)O3 NP D D -1.6 548 221
FeZrO3 NP D NP -2.7 92 55
HgCO3 NP - - - - -
HgNiO3 NP D D -0.49 193 148
