ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,4.395,-8.349,159.079,74.697,475.258,30.114,2.706,30.512,2.656,2.682,5.177e-05,Th2Si2O8,mp-5836
Insulator,5.123,-7.06,79.407,34.272,458.296,132.706,2.651,127.538,2.625,2.518,5.189e-05,K4Ba4P12O40,mp-1204803
Insulator,1.464,-8.517,185.176,98.176,512.029,73.845,2.648,74.739,2.628,2.592,5.152e-05,W8O24,mp-1197857
Insulator,2.93,-5.223,60.363,36.731,473.796,30.785,2.759,30.139,2.622,2.915,6.068e-05,Na4Ge2O6,mp-5784
Insulator,2.708,-7.319,78.334,41.048,400.528,37.883,2.829,38.915,2.681,2.794,5.167e-05,U2Se2O10,mp-27723
Insulator,2.942,-7.332,110.56,42.951,390.324,72.475,2.844,69.496,2.783,2.776,5.175e-05,U4Te4O20,mp-3516
Insulator,2.746,-5.029,47.103,17.672,291.366,31.331,2.995,31.837,2.842,2.8,5.231e-05,Na1Tl3S2O6,mp-7853
Insulator,3.223,-7.643,93.542,60.456,334.193,57.216,2.848,55.583,2.697,2.515,5.163e-05,Rb4Ta4O12,mp-3033
Insulator,3.363,-4.119,24.283,29.87,573.599,66.146,2.568,55.792,2.476,2.885,5.031e-05,Hg1H12Cl2O14,mp-634466
Insulator,6.557,-5.897,68.407,45.023,354.369,148.955,2.912,142.696,2.796,2.809,6.007e-05,K8Er24F80,mp-683945
Insulator,4.866,-5.916,39.538,25.899,482.53,59.245,2.759,58.064,2.561,2.665,5.927e-05,K4P4O10F4,mp-558480
Insulator,0.956,-1.942,22.395,8.844,102.288,37.922,3.242,35.666,2.987,3.132,5.072e-05,Te4Au4I4,mp-27741
Insulator,2.394,-3.274,15.151,7.375,239.018,56.405,3.187,55.611,2.916,3.01,5.854e-05,K4Sn2Cl12,mp-570173
