MP_Eg,OQMD_Eg,AFLOW_Eg,AFLOW-fitted_EG,AFLOWML_Eg,JARVIS-TBMBJ_Eg,JARVIS-OPT_Eg,Exp_Eg
5.2559,,,,5.024,6.6922,5.8183,
3.2688,,,,3.48,,,
0.6206000000000005,,,,0.5920000000000001,,,
3.3913,,,,2.903,,,
4.8397000000000014,,,,3.522,,,
1.3437000000000006,,,,1.105,,,
2.3008,,,,2.438,,,
2.4045,2.3040000000000003,,,2.753,,,
1.7701999999999996,1.4869999999999999,,,2.658,,,
0.6566000000000001,,,,2.7230000000000003,,,
3.181,3.0669999999999997,,,3.157,,,
2.7039,,,,2.6519999999999997,,,
2.8794,3.2119999999999997,2.8856,4.80279,2.883,,,
2.3365,2.633,,,2.511,,,
6.4314,6.6739999999999995,6.428999999999999,9.57929,6.43,,,
1.7554999999999996,,,,2.313,,,
0.7856999999999998,,,,1.605,,,
1.1764,0.903,,,,,,
1.4805,,,,2.7260000000000004,,,
4.7696000000000005,4.827,,,3.359,,,
2.0035,1.5430000000000001,,,,,,
2.2843,2.504,,,2.535,,,
4.9681,5.645,,,4.8069999999999995,,,
1.9935,1.7730000000000001,1.6364,3.1188700000000003,1.6480000000000001,,,
0.4123999999999999,,,,1.1440000000000001,,,
4.0784,,,,4.399,,,
2.8995,,,,2.807,,,
2.2907,2.349,2.2197,3.90516,2.319,3.7408,2.3271,
3.5309,,,,3.048,,,
1.7488999999999997,,,,1.379,,,
3.3647,,,,3.347,,,
2.1699,2.1390000000000002,,,2.318,,,
0.5199999999999996,,,,1.89,,,
0.6743000000000001,,,,,,,
0.4093,0.41200000000000103,0.929,2.16529,0.889,,,
5.8164,6.273,,,4.994,,,
1.5615,1.541,,,1.2830000000000001,2.0634,1.2185,2.88
6.4419,6.6739999999999995,6.428999999999999,9.57929,6.124,9.3129,6.729,
1.4663,,,,1.486,,,
4.031500000000001,4.396,,,4.131,4.6901,4.2093,
2.8459,,,,3.75,,,
2.0849,,,,2.878,,,
3.3726,,,,2.991,,,
3.0636,,,,3.278,,,
0.474,,,,1.504,,,
3.0614,3.4419999999999997,3.0749,5.05797,3.4410000000000003,,,
5.954,,,,5.352,,,
0.6405000000000003,,,,1.63,,,
3.721000000000001,,,,4.388999999999999,,,
0.8555999999999999,,,,1.2790000000000001,,,
1.0418,1.0170000000000001,,,0.976,1.1723,0.9108,2.75
6.1755,,5.8878,8.84975,5.966,7.3007,5.8101,
1.1473000000000004,1.043,,,0.875,,,
5.6557,,,,5.059,,,
0.8298999999999999,,,,1.078,,,
1.6143,1.52,,,1.54,2.6296,1.2241,2.67
2.5813,,,,2.635,,,
1.5238,,,,1.261,,,
4.328199999999999,,4.281000000000001,6.683789999999999,4.2860000000000005,,,
3.5777,,,,3.5989999999999998,,,
1.4031000000000002,1.569,1.3780000000000001,2.77054,1.4809999999999999,,,
3.4068000000000005,,,,3.568,,,
1.3179000000000003,,,,1.31,,,
2.6740000000000004,,,,3.012,,,
1.6214000000000002,,,,1.495,,,
3.021100000000001,3.237,3.0106,4.97129,2.957,,,
3.6201,4.121,,,3.5389999999999997,,,
2.9402,,,,2.174,,,
5.8073,,,,5.895,,,
2.9681,,2.9151,4.84255,2.7560000000000002,,,
2.0968,,,,2.124,,,
0.9279000000000006,,,,0.98,,,
6.7858,,6.7006,9.94541,6.693,,,
6.6876,6.361000000000001,6.4682,9.63213,6.523,,,
2.1067,,,,2.52,,,
3.1304,3.522,,,3.343,,,
2.4258999999999995,2.511,,,2.344,,,
3.933300000000001,4.386,,,4.279,,,
4.449400000000002,4.836,,,4.445,,,
1.2582,,,,1.4669999999999999,,,
0.5072,,,,3.714,,,
0.9661,0.9259999999999999,,,0.995,,,
3.3066,3.5639999999999996,3.2951,5.35479,3.36,,,
0.7854000000000001,,,,3.7430000000000003,,,
3.1396,3.523,3.1272,5.12847,3.426,,,
2.9138999999999995,3.105,2.877,4.7912,2.78,,,
4.0482,4.678999999999999,4.0268,6.341130000000001,3.79,,,
3.4484,,,,2.244,,,
